name,use,websites,hosts,first_party,third_party,persistent,life_span,session
aw,Targeting/Advertising,40176,51102,218978,86360,211902,262862,93436
dt,Performance,20244,241,3579,20662,20505,20404,3736
_gd,Functionality,1715,1352,75326,706,985,182645,75047
bmuid,Functionality,43,28,43,3,46,363,0
visitor,Functionality,1954,462,21067,2017,3075,786317,20009
_dy_df_geo,Targeting/Advertising,328,331,449,19,468,123449,0
_dy_geo,Targeting/Advertising,327,329,444,19,463,124258,0
exp_csrf_token,Strictly Necessary,231,233,246,33,279,1457410,0
exp_tracker,Performance,996,950,958,148,2,0,1104
exp_last_activity,Performance,1046,969,964,209,1167,32939,6
exp_last_visit,Performance,1018,960,942,197,1133,13268,6
___utmvc,Functionality,3604,3489,3522,657,4179,2914860,0
pid,Functionality,15721,588,628,19137,18967,371322,798
geoip,Functionality,208,106,191,145,107,269364,229
_biz_sid,Performance,587,390,569,98,667,1,0
_biz_uid,Performance,594,396,573,111,684,368,0
sessionid,Strictly Necessary,8084,2012,3318,7871,4450,578546,6739
geo_city,Targeting/Advertising,15,9,8,7,15,30,0
_cb_svref,Functionality,2681,2683,2712,1807,4519,1,0
_chartbeat2,Performance,3975,3843,3877,2281,6150,277,8
s_sq,Performance,5911,3722,5549,1553,590,2857435,6512
_cb_ls,Performance,2806,2790,2825,1770,4595,380,0
_cb,Unknown,2692,2697,2748,1760,4508,389,0
_session_id,Strictly Necessary,1371,747,647,870,717,279669,800
_shopify_sa_t,Performance,1452,1497,2815,1727,4290,224212,252
_shopify_fs,Performance,1516,1592,2871,1640,4255,2484,256
_s,Performance,2172,1700,3365,2575,5587,102833,353
_landing_page,Performance,1484,1488,1468,147,1615,194268,0
_shopify_sa_p,Performance,1458,1594,2979,2269,5015,161931,233
_shopify_s,Performance,1584,1732,3026,1783,4508,291475,301
secure_customer_sig,Strictly Necessary,1525,1512,1500,96,1596,10983,0
_orig_referrer,Strictly Necessary,1503,1504,1480,152,1632,200445,0
_shopify_y,Performance,1617,1691,2641,1858,4188,3535,311
_y,Performance,1554,1612,3095,2126,4927,2653,294
__utmzzses,Targeting/Advertising,275,235,271,33,6,2914914,298
__cflb,Strictly Necessary,2726,337,225,4316,4541,153169,0
s_cm,Performance,509,430,507,175,177,1457327,505
location_data,Functionality,80,70,5191,88,0,0,5279
gpv,Performance,332,238,343,89,432,485748,0
disqus_unique,Functionality,1147,2,3,1144,1144,3311,3
__jid,Functionality,1285,465,446,945,1100,6,291
bid,Strictly Necessary,726,184,200,897,834,303788,263
cb,Performance,818,12,9,878,884,91256,3
ajs_group_id,Targeting/Advertising,2602,1544,2092,742,2829,1540,5
ajs_user_id,Targeting/Advertising,2401,1408,1880,739,2613,1637,6
bcookie,Targeting/Advertising,14871,96,122,15690,15810,93331,2
spuid,Strictly Necessary,125,79,43,158,200,317968,1
_calendly_session,Functionality,109,1,0,112,108,29168,4
csrf_token,Strictly Necessary,175,131,3310,89,70,231718,3329
cid,Targeting/Advertising,7672,612,705,9957,9989,288443,673
g,Targeting/Advertising,3193,352,831,3323,3837,641151,317
mgref,Targeting/Advertising,488,13,162,361,521,6333,2
eblang,Functionality,358,12,131,251,382,38703,0
ipe_s,Functionality,396,418,474,187,0,0,661
_country,Targeting/Advertising,14,20,13,10,19,171688,4
ai_session,Performance,2351,2258,2195,1954,4142,1001972,7
ai_user,Performance,2407,2281,2255,1490,3745,31727,0
cfid,Strictly Necessary,2565,2198,2145,1495,2613,92793,1027
cftoken,Strictly Necessary,2563,2200,2144,1509,2606,91674,1047
_ems_visitor,Targeting/Advertising,28,27,28,0,0,0,28
_ems_session,Targeting/Advertising,28,27,28,0,27,0,1
geo_region,Targeting/Advertising,12,11,14,1,12,728878,3
geo_country,Targeting/Advertising,31,31,31,6,11,954,26
ki_r,Performance,791,877,1067,398,1465,4640,0
ki_t,Performance,948,953,1141,491,1632,4940,0
has_seen_cookie_banner,Functionality,3,2,2,1,3,6087,0
liveagent_ptid,Functionality,1141,1198,1392,908,2300,29141,0
liveagent_sid,Functionality,1137,1196,1387,955,343,2914627,1999
_oklv,Strictly Necessary,666,653,677,219,2,0,894
_okbk,Functionality,639,626,652,188,5,0,835
_ok,Strictly Necessary,633,619,648,171,2,0,817
olfsk,Strictly Necessary,696,645,668,230,897,720,1
hblid,Functionality,700,660,679,242,920,719,1
wcsid,Strictly Necessary,788,649,674,344,156,3549,862
device_view,Functionality,395,250,168,312,479,65974,1
_br_uid_2,Functionality,178,135,171,13,180,36498,4
_uid,Functionality,2845,97,92,2945,3031,30250,6
